sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,length,width,height,weight,price,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,tax_status,tax_category_id,global_unique_id,cases_in_stock,custom_product_subtitle,pack_quantity,low_stock_amount,pmp_or_not,max_order,por_percentage,product_size,prom_id,prom_start,promo_end,total_sales,rrp_price,outer_pack_size,shipping_class,configurable_variants
178152,,en,variant_family,simple,CONFECTIONERY/MINT,,POLO SPEARMINT TUBE,POLO SPEARMINT TUBE,POLO SPEARMINT TUBE,1,1,,,,10,11.99,,,,polo-spearmint-tube-178152,,,,1,default=6,,,,19,1,,6,32X34GRM,,,PLAIN,,18.25,,,,,,0.55,,No Shipping class,
103583,,en,variant_family,simple,CONFECTIONERY/MINT,,POLO MINT ORIGINAL,POLO MINT ORIGINAL,POLO MINT ORIGINAL,1,1,,,,10,11.99,,,,polo-mint-original-103583,,,,1,default=9,,,,19,1,,9,32xTUBE,,,PLAIN,,18.25,,,,,,0.55,,No Shipping class,
26800,,en,variant_family,simple,CONFECTIONERY/MINT,,POLO SUGAR FREE TUBE PM 60P,POLO SUGAR FREE TUBE PM 60P,POLO SUGAR FREE TUBE PM 60P,1,1,,,,10,10.89,,,,polo-sugar-free-tube-pm-60p-26800,,,,1,default=3,,,,19,1,,3,32x33.4GRM,,,PMP,,31.94,,,,,,0.6,,No Shipping class,
26801,,en,variant_family,simple,CONFECTIONERY/MINT,,NESTLE POLO ORIGINAL MINT TUBE £60p,NESTLE POLO ORIGINAL MINT TUBE £60p,NESTLE POLO ORIGINAL MINT TUBE £60p,1,1,,,,10,9.49,,,,nestle-polo-original-mint-tube-ps60p-26801,,,,1,default=2,,,,19,1,,2,32x34G,,,PMP,,27.37,,,,,,0.49,,No Shipping class,
900327,,en,variant_family,simple,GROCERY/SPORT & NUTRITION,,MILO TINS CHOC,MILO TINS CHOC,MILO TINS CHOC,1,1,,,,10,22.49,,,,milo-tins-choc-900327,,,,1,default=3,,,,19,3,,3,6x400G,,,PLAIN,,49.96,,,,,,7.49,,No Shipping class,
170297,,en,variant_family,simple,CONFECTIONERY/CHOCOLATE BOXES,,NESTLE BLUE RIBAND 6PACK PM£1.25,NESTLE BLUE RIBAND 6PACK PM£1.25,NESTLE BLUE RIBAND 6PACK PM£1.25,1,1,,,,10,8.49,,,,nestle-blue-riband-6pack-pmps125-170297,,,,1,default=1,,,,19,1,,1,14x18G,,,PMP,,41.78,,,,,,1.25,,No Shipping class,
900331,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESC DOLCE GUSTO NESQUIK CHOC 16CAP,NESC DOLCE GUSTO NESQUIK CHOC 16CAP,NESC DOLCE GUSTO NESQUIK CHOC 16CAP,1,1,,,,10,11.69,,,,nesc-dolce-gusto-nesquik-choc-16cap-900331,,,,1,default=2,,,,19,3,,2,3X256G,,,PLAIN,,39.96,,,,,,6.49,,No Shipping class,
900138,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE AZERA (TIN) £4.49,NESCAFE AZERA (TIN) £4.49,NESCAFE AZERA (TIN) £4.49,1,1,,,,10,19.19,,,,nescafe-azera-tin-ps449-900138,,,,1,default=3,,,,19,3,,3,6x90G,,,PMP,,28.77,,,,,,4.49,,No Shipping class,
900328,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE CAFE CARAMEL 8 SACHETS,NESCAFE CAFE CARAMEL 8 SACHETS,NESCAFE CAFE CARAMEL 8 SACHETS,1,1,,,,10,14.49,,,,nescafe-cafe-caramel-8-sachets-900328,,,,1,default=1,,,,19,1,,1,6X149.8G,,,PLAIN,,16.96,,,,,,3.49,,No Shipping class,
900326,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE DOUBLE CHOCO MOCHA 8 SACHET,NESCAFE DOUBLE CHOCO MOCHA 8 SACHET,NESCAFE DOUBLE CHOCO MOCHA 8 SACHET,1,1,,,,10,9.29,,,,nescafe-double-choco-mocha-8-sachet-900326,,,,1,default=5,,,,19,1,,5,6X167.2G,,,PLAIN,,46.76,,,,,,3.49,,No Shipping class,
900333,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE GOLD SACHET LATTE 12SAC,NESCAFE GOLD SACHET LATTE 12SAC,NESCAFE GOLD SACHET LATTE 12SAC,1,1,,,,10,11.29,,,,nescafe-gold-sachet-latte-12sac-900333,,,,1,default=3,,,,19,3,,3,6X216G,,,PLAIN,,46.08,,,,,,3.49,,No Shipping class,
900140,,en,variant_family,simple,HOT DRINKS/COFFEE,,NESCAFE GOLD LATTE PMP £2.49,NESCAFE GOLD LATTE PMP £2.49,NESCAFE GOLD LATTE PMP £2.49,1,1,,,,10,9.99,,,,nescafe-gold-latte-pmp-ps249-900140,,,,1,default=3,,,,19,3,,3,6X114G,,,PMP,,33.13,,,,,,2.49,,No Shipping class,
900769,,en,variant_family,simple,"CEREALS & CEREAL BAR/BRAN, OAT & FLAKE CEREAL",,NESTLE CHEERIOS MULTIGRAIN PM £3.25,NESTLE CHEERIOS MULTIGRAIN PM £3.25,NESTLE CHEERIOS MULTIGRAIN PM £3.25,1,1,,,,10,12.99,,,,nestle-cheerios-multigrain-pm-ps325-900769,,,,1,default=6,,,,19,1,,6,6X390G,,,PMP,,21.03,,,,,,3.29,,No Shipping class,
900136,,en,variant_family,simple,GROCERY/SPORT & NUTRITION,,NESTLE NIDO MILK POWDER,NESTLE NIDO MILK POWDER,NESTLE NIDO MILK POWDER,1,1,,,,10,28.99,,,,nestle-nido-milk-powder-900136,,,,1,default=3,,,,19,3,,3,6X400G,,,PLAIN,,31.85,,,,,,7.09,,No Shipping class,
900771,,en,variant_family,simple,CEREALS & CEREAL BAR/CEREALS,,NESTLE SHREDDED WHEAT PM £3.25,NESTLE SHREDDED WHEAT PM £3.25,NESTLE SHREDDED WHEAT PM £3.25,1,1,,,,10,9.49,,,,nestle-shredded-wheat-pm-ps325-900771,,,,1,default=5,,,,19,3,,5,5x16S,,,PMP,,42.31,,,,,,3.29,,No Shipping class,
901008,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,NESTLE SMARTIES WHITE,NESTLE SMARTIES WHITE,NESTLE SMARTIES WHITE,1,1,,,,10,13.75,,,,nestle-smarties-white-901008,,,,1,default=2,,,,19,1,,2,24x38G,,,PLAIN,,36.93,,,,,,1.09,,No Shipping class,
901004,,en,variant_family,simple,CONFECTIONERY/CHOCOLATES,,ROLO POUCH,ROLO POUCH,ROLO POUCH,1,1,,,,10,10.49,,,,rolo-pouch-901004,,,,1,default=5,,,,19,1,,5,8X103G,,,PLAIN,,34.16,,,,,,2.39,,No Shipping class,
901009,,en,variant_family,simple,CONFECTIONERY/SWEET BAGS,,ROWNTREES BERRY HEARTS,ROWNTREES BERRY HEARTS,ROWNTREES BERRY HEARTS,1,1,,,,10,11.49,9.89,2025-05-05,2025-11-05,rowntrees-berry-hearts-901009,,,,1,default=11,,,,19,1,,11,10X115G,,,PLAIN,,34.03,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,2.09,,No Shipping class,
